source,paper_id,title,abstract,authors,year,publication_date,doi,url,pdf_url,venue,journal,citation_count,reference_count,categories,similarity_score,sources
core,305726261,Predicting the Impact of Generative AI Using an Agent-Based Model,"Generative artificial intelligence (AI) systems have transformed various industries by autonomously generating content that mimics human creativity. However, concerns about their social and economic consequences arise with widespread adoption. This paper employs agent-based modeling (ABM) to explore these implications, predicting the impact of generative AI on societal frameworks. The ABM integrates individual, business, and governmental agents to simulate dynamics such as education, skills acquisition, AI adoption, and regulatory responses. This study enhances understanding of AI\u27s complex interactions and provides insights for policymaking. The literature review underscores ABM\u27s effectiveness in forecasting AI impacts, revealing AI adoption, employment, and regulation trends with potential policy implications. Future research will refine the model, assess long-term implications and ethical considerations, and deepen understanding of generative AI\u27s societal effects.6 pages, 2 figure","['Aparicio, Joao Tiago', 'Aparicio, Sofia', 'Aparicio, Manuela', 'Costa, Carlos J.']",2024,2024-08-30T01:00:00+01:00,,https://core.ac.uk/download/684325439.pdf,https://core.ac.uk/download/684325439.pdf,,,0.0,,text,0.5217,
openalex,https://openalex.org/W3126443786,Machine Learning in Economics and Finance,,"['Periklis Gogas', 'Théophilos Papadimitriou']",2021,2021-01-01,https://doi.org/10.1007/s10614-021-10094-w,https://openalex.org/W3126443786,https://link.springer.com/content/pdf/10.1007/s10614-021-10094-w.pdf,Computational Economics,Computational Economics,129.0,22.0,"['Computational finance', 'Economics', 'Computer science', 'Financial economics', 'Econometrics', 'Finance']",0.5144,
openalex,https://openalex.org/W3127065574,Advances in the agent-based modeling of economic and social behavior,"In this review we discuss advances in the agent-based modeling of economic and social systems. We show the state of the art of the heuristic design of agents and how behavioral economics and laboratory experiments have improved the modeling of agent behavior. We further discuss how economic networks and social systems can be modeled and we discuss novel methodology and data sources. Lastly, we present an overview of estimation techniques to calibrate and validate agent-based models and show avenues for future research.","['Mitja Steinbacher', 'Matthias Raddant', 'Fariba Karimi', 'Eva Camacho-Cuena', 'Simone Alfarano', 'Giulia Iori', 'Thomas Lux']",2021,2021-07-07,https://doi.org/10.1007/s43546-021-00103-3,https://openalex.org/W3127065574,https://link.springer.com/content/pdf/10.1007/s43546-021-00103-3.pdf,SN Business & Economics,SN Business & Economics,79.0,187.0,"['Computer science', 'Heuristic', 'Agent-based social simulation', 'Management science', 'Economic model', 'Behavioral modeling', 'Data science', 'Artificial intelligence', 'Multi-agent system', 'Engineering', 'Economics', 'Microeconomics']",0.5071,
openalex,https://openalex.org/W4288391568,An Overview of Artificial Intelligence Ethics,"Artificial intelligence (AI) has profoundly changed and will continue to change our lives. AI is being applied in more and more fields and scenarios such as autonomous driving, medical care, media, finance, industrial robots, and internet services. The widespread application of AI and its deep integration with the economy and society have improved efficiency and produced benefits. At the same time, it will inevitably impact the existing social order and raise ethical concerns. Ethical issues, such as privacy leakage, discrimination, unemployment, and security risks, brought about by AI systems have caused great trouble to people. Therefore, AI ethics, which is a field related to the study of ethical issues in AI, has become not only an important research topic in academia, but also an important topic of common concern for individuals, organizations, countries, and society. This paper will give a comprehensive overview of this field by summarizing and analyzing the ethical risks and issues raised by AI, ethical guidelines and principles issued by different organizations, approaches for addressing ethical issues in AI, methods for evaluating the ethics of AI. Additionally, challenges in implementing ethics in AI and some future perspectives are pointed out. We hope our work will provide a systematic and comprehensive overview of AI ethics for researchers and practitioners in this field, especially the beginners of this research discipline.","['Changwu Huang', 'Zeqi Zhang', 'Bifei Mao', 'Xin Yao']",2022,2022-07-28,https://doi.org/10.1109/tai.2022.3194503,https://openalex.org/W4288391568,https://ieeexplore.ieee.org/ielx7/9078688/9184921/09844014.pdf,IEEE Transactions on Artificial Intelligence,IEEE Transactions on Artificial Intelligence,425.0,135.0,"['Engineering ethics', 'Ethical issues', 'Field (mathematics)', 'Ethics of technology', 'Political science', 'Applied ethics', 'Information ethics', 'Sociology', 'Public relations', 'Artificial intelligence', 'Computer science', 'Engineering', 'Meta-ethics', 'Mathematics', 'Pure mathematics']",0.502,
openalex,https://openalex.org/W4225716729,"AI-Based Modeling: Techniques, Applications and Research Issues Towards Automation, Intelligent and Smart Systems","Abstract Artificial intelligence (AI) is a leading technology of the current age of the Fourth Industrial Revolution (Industry 4.0 or 4IR), with the capability of incorporating human behavior and intelligence into machines or systems. Thus, AI-based modeling is the key to build automated, intelligent, and smart systems according to today’s needs. To solve real-world issues, various types of AI such as analytical, functional, interactive, textual, and visual AI can be applied to enhance the intelligence and capabilities of an application. However, developing an effective AI model is a challenging task due to the dynamic nature and variation in real-world problems and data. In this paper, we present a comprehensive view on “AI-based Modeling” with the principles and capabilities of potential AI techniques that can play an important role in developing intelligent and smart systems in various real-world application areas including business, finance, healthcare, agriculture, smart cities, cybersecurity and many more. We also emphasize and highlight the research issues within the scope of our study. Overall, the goal of this paper is to provide a broad overview of AI-based modeling that can be used as a reference guide by academics and industry people as well as decision-makers in various real-world scenarios and application domains.",['Iqbal H. Sarker'],2022,2022-02-10,https://doi.org/10.1007/s42979-022-01043-x,https://openalex.org/W4225716729,https://link.springer.com/content/pdf/10.1007/s42979-022-01043-x.pdf,SN Computer Science,SN Computer Science,1113.0,89.0,"['Automation', 'Computer security', 'Engineering management', 'Engineering', 'Intelligent decision support system', 'Artificial intelligence', 'Embedded system', 'Data science', 'Programming language', 'Key (lock)', 'Mechanical engineering', 'Scope (computer science)', 'Industry 4.0', 'Computer science']",0.5007,['openalex']
core,291805228,Building Trustworthy Agentic Ai Systems FOR Personalized Banking Experiences,"Artificial Intelligence (AI) systems have become ubiquitous in contemporary society and have the potential for transformative impact on user behavior. These systems are capable of learning autonomously to personalize their behavior to deliver improved user experiences. However, there exists the potential for unintended consequences, as the same agentic features associated with positive outcomes may also increase the capacity for negative outcomes. Financial services is an example of a domain where deploying AI systems with agentic features would be high risk. The automated decision-making capabilities of these systems could influence billions of dollars. Nonetheless, they would be entrusted with taking actions that affect users without human oversight, such as reallocating entire portfolios of assets in ways that users do not wish. Therefore, a foundational requirement for adopting these systems must be the capacity to build shared norms of beneficial behavior prior to their deployment.
Several commercially available AI systems with agentic features are already deployed in the domain of personal banking. Automated personal financial management combines categorization of transactions followed by predictions of future expenditure and savings to improve budgeting decisions, amongst other impacts. Digital banking assistants embed intelligent conversational agents used primarily for accessing banking information and services. These systems typically operate in conjunction with non-intelligent user interfaces, and thus the extent of agentic features in user-bank interactions is limited. However, envisionable advancements include wider adoption of natural language processing capabilities, comparative financial analysis, and customized query suggestions.
Agentic AI systems must operate under a formal specification of trustworthiness constraints. Therefore, AI agents must embody the technical requirements for trustworthy AI systems. Management of risks associated with agentic AI is a dangerous task given the scale of money flows in financial markets and the unprecedented scale, scope, and speed of analysis, prediction, and execution in such markets. At the same time, AI systems that endow agents with entity-level legal ownership and agency create a scarcity that could be captured in trust funds in the form of wealth to protect a material asset class from better prediction by other agents (all other predictions being sub-optimal). Glücksspiel unter Vertrauensbildung para-poker could be a conceptually rigorous game of chance. Thereby, the proposed system could help to promote beneficial forms of AI agency while governing risks effectively","['Inala, Ramesh', 'Somu, Bharath']",2025,2025-05-07T01:00:00+01:00,10.63278/mme.vi.1714,https://core.ac.uk/download/658965965.pdf,https://core.ac.uk/download/658965965.pdf,,,0.0,,info:eu-repo/semantics/article,0.5003,
arxiv,2512.04988v2,When AI Agents Compete for Jobs: Strategic Capabilities and Economic Dynamics of AI Labour Markets,"Emerging agentic marketplaces provide the economic infrastructure for matching and coordinating the large amounts of AI agents used in agentic swarms. Unlike human workers, AI agents can operate on multiple jobs simultaneously, acquire skills rapidly, and labor without wage floors. These differences introduce a new segment of $\textbf{AI labor markets}$, where AI agents interact with each other at a much higher frequency than human markets. Yet we lack frameworks to understand how such markets behave in light of economic forces that shape labor markets, such as adverse selection and reputation dynamics. To explore this, we introduce $\texttt{AI-Work}$, a tractable, simulated gig economy where Large Language Model (LLM) agents compete for jobs, develop skills, and adapt their strategies under uncertainty and competitive pressure. Our experiments examine three domains of capabilities that successful agents possess: $\textbf{metacognition}$ (accurate self-assessment of skills), $\textbf{competitive awareness}$ (modeling rivals and market dynamics), and $\textbf{long-horizon strategic planning}$. Agents with these capabilities consistently achieve higher profits, market share, and stronger adaptation than competing agents. Through $\texttt{AI-Work}$, we hope to provide a foundation to explore the microeconomic properties of AI-only labor markets, and a conceptual framework to study the strategic reasoning capabilities of participating AI agents.","['Christopher Chiu', 'Simpson Zhang', 'Mihaela van der Schaar']",2025,2025-12-04T16:57:28+00:00,,http://arxiv.org/abs/2512.04988v2,https://arxiv.org/pdf/2512.04988v2,,,,,"['cs.AI', 'cs.MA']",0.5002,['arxiv']
openalex,https://openalex.org/W4390050383,The Uneven Impact of Generative AI on Entrepreneurial Performance,"Scalable and low-cost AI assistance has the potential to improve firm decision-making and economic performance. However, running a business involves a myriad of open-ended problems, making it difficult to know whether recent AI advances can help business owners make better decisions in real-world markets. In a field experiment with Kenyan entrepreneurs, we assessed the impact of AI advice on small business revenues and profits by randomizing access to a GPT-4-powered AI business assistant via WhatsApp. While we are unable to reject the null hypothesis that there is no average treatment effect, we find the treatment effect for entrepreneurs who were high performing at baseline to be 0.27 standard deviations greater than for low performers. Sub-sample analyses show high performers benefited by just over 15% from the AI assistant, whereas low performers did about 8% worse. This increase in performance inequality does not stem from differences in the questions posed to or advice received from the AI, but from how entrepreneurs selected from and implemented the AI advice they received. More broadly, our findings demonstrate that generative AI is already capable of impacting—though in uneven and unexpected ways—real, open-ended, and unstructured business decisions.","['Nicholas G. Otis', 'Rowan Philip Clarke', 'Solène Delecourt', 'David Holtz', 'Rembrand Koning']",2023,2023-12-21,https://doi.org/10.31219/osf.io/hdjpk,https://openalex.org/W4390050383,https://osf.io/hdjpk/download,,,147.0,90.0,"['Generative grammar', 'Business', 'Entrepreneurship', 'Industrial organization', 'Computer science', 'Artificial intelligence', 'Finance']",0.4982,
arxiv,2606.02859v1,Economy of Minds: Emerging Multi-Agent Intelligence with Economic Interactions,"How can a population of agents self-orchestrate and self-adapt into stronger collective intelligence without centralized control? Inspired by Friedrich Hayek's economic theory of decentralized coordination in markets, we study this question through an agent economy in which agents compete via auctions for the right to act, exchange payments, and accumulate wealth from environmental rewards. These simple economic signals induce decentralized credit assignment, driving planning without global orchestration or explicit communication protocols. The population evolves through economic selection: effective agents accumulate wealth and are mutated via exploitation, while ineffective ones go bankrupt and are replaced via exploration. We show that, initialized with weak agents, the economy produces emergent multi-step reasoning strategies and outperforms stronger monolithic baselines across five agentic tasks, including mathematical reasoning, financial research, scientific research, accelerator design, and distributed-system optimization. We further provide theoretical insights into how economic dynamics shape agent behaviors, linking local incentives to long-term global performance. Our results suggest a new path to multi-agent intelligence: rather than engineering coordination, we can design decentralized incentive structures under which it automatically emerges.","['Zhenting Qi', 'Huangyuan Su', 'Ao Qu', 'Chenyu Wang', 'Yu Yao', 'Han Zheng', 'Kushal Chattopadhyay', 'Guowei Xu', 'Zihan Wang', 'Weirui Ye', 'Vijay Janapa Reddi', 'Ju Li', 'Paul Pu Liang', 'Himabindu Lakkaraju', 'Sham Kakade', 'Yilun Du']",2026,2026-06-01T20:21:09+00:00,,http://arxiv.org/abs/2606.02859v1,https://arxiv.org/pdf/2606.02859v1,,,,,"['cs.CL', 'cs.AI', 'cs.MA']",0.4962,
core,313190528,"Artificial Intelligence and the Future of US Competitiveness: Sectoral Impacts, Workforce Transitions, and Policy Challenges","This paper provides a comprehensive analysis of Artificial Intelligence’s impact on U.S. economic competitiveness through six key dimensions. First, we examine AI’s macroeco- nomic effects, synthesizing projections that estimate potential contributions of $4.8-$19.9 trillion to global GDP by 2030, with annual productivity growth ranging from 0.5-1.3%. Second, we analyze labor market transformations, where 20-40% of jobs may be affected, creating both displacement risks and opportunities for workforce augmentation. Third, we investi- gate the intensifying geopolitical competition in AI, particularly between the U.S. and China, where military AI markets are projected to reach $38.5 billion and $32 billion respectively by 2030. Fourth, we evaluate sector-specific impacts, highlighting manufacturing efficiency gains of 15-30% and small business productivity improvements up to 25%. Fifth, we compare dif- ferent AI paradigms - narrow AI, agentic AI, and AGI - with their distinct economic implications, from incremental task automation to potential exponential growth scenarios. Finally, we assess policy frameworks needed to balance innovation with risk mitigation, emphasizing digital infrastructure investment, workforce reskilling, and international governance cooperation. Our analysis synthesizes findings from over 100 recent sources to present a holistic view of AI’s transformative potential and challenges. The paper concludes with strategic recommendations for maintaining U.S. competitiveness while addressing inequality risks and ensuring sustainable AI integration across economic sectors. Key findings suggest that while AI offers substantial economic opportunities, its benefits are not automatic and require proactive policy interventions to achieve equitable distribution and long-term growth. We examine the policy interventions re- quired to harness AI’s transformative benefits while mitigating its associated risks. The analysis highlights that while AI opportuni- ties for efficiency gains and innovation across sectors, its equitable and sustainable integration necessitates proactive governance, investment in digital infrastructure, workforce reskilling, and international collaboration. We examine the strategic policy interventions required to harness AI’s transformative benefits while mitigating its associated risks. The analysis highlights that while AI offers opportunities for efficiency gains and innovation across sectors, its equitable and sustainable integration necessitates proactive governance, investment in digital infrastructure, workforce reskilling, and international collaboration","['Joshi, Satyadhar']",2025,2025-01-01T00:00:00+00:00,,https://core.ac.uk/download/695518628.pdf,https://core.ac.uk/download/695518628.pdf,,,,,"['/', 't', 'a', '-', ':', 'p', 'o', 's', 'c', 'i', 'n', 'r', 'l', 'u', 'f', 'e', 'm']",0.4962,['core']
openalex,https://openalex.org/W4413478458,Managing Artificial Intelligence,"Managing artificial intelligence (AI) marks the dawn of a new age of information technology management. Managing AI involves communicating, leading, coordinating, and controlling an ever-evolving frontier of computational advancements that references human intelligence in addressing ever more complex decisionmaking problems. It means making decisions about three related, interdependent facets of AI—autonomy, learning, and inscrutability—in the ongoing quest to push the frontiers of performance and scope of AI. We demonstrate how the frontiers of AI have shifted with time, and explain how the seven exemplar studies included in this special issue are helping us learn about management at the frontiers of AI. We close by speculating about future frontiers in managing AI and what role information systems scholarship has in exploring and shaping this future.","['Nicholas Berente', 'Bin Gu', 'Jan Recker', 'Radhika Santhanam']",2021,2021-09-01,https://doi.org/10.25300/misq/2021/16274,https://openalex.org/W4413478458,https://misq.umn.edu/misq/article-pdf/45/3/1433/7191/14_16274_si_introduction.pdf,MIS Quarterly,MIS Quarterly,469.0,147.0,"['Artificial intelligence', 'Computer science']",0.4922,
arxiv,2512.04339v1,A Conceptual Model for AI Adoption in Financial Decision-Making: Addressing the Unique Challenges of Small and Medium-Sized Enterprises,"The adoption of artificial intelligence (AI) offers transformative potential for small and medium-sized enterprises (SMEs), particularly in enhancing financial decision-making processes. However, SMEs often face significant barriers to implementing AI technologies, including limited resources, technical expertise, and data management capabilities. This paper presents a conceptual model for the adoption of AI in financial decision-making for SMEs. The proposed model addresses key challenges faced by SMEs, including limited resources, technical expertise, and data management capabilities. The model is structured into layers: data sources, data processing and integration, AI model deployment, decision support and automation, and validation and risk management. By implementing AI incrementally, SMEs can optimize financial forecasting, budgeting, investment strategies, and risk management. This paper highlights the importance of data quality and continuous model validation, providing a practical roadmap for SMEs to integrate AI into their financial operations. The study concludes with implications for SMEs adopting AI-driven financial processes and suggests areas for future research in AI applications for SME finance.","['Manh Chien Vu', 'Thang Le Dinh', 'Manh Chien Vu', 'Tran Duc Le', 'Thi Lien Huong Nguyen']",2025,2025-12-03T23:57:34+00:00,,http://arxiv.org/abs/2512.04339v1,https://arxiv.org/pdf/2512.04339v1,,,,,['cs.AI'],0.4917,
core,313174654,"Hot hands or cold bots? Belief reactions to sequential predictions from AI, humans, and random sources","People often draw inferences from sequences of past performance, sometimes perceiving patterns even in random outcomes. This has fueled debates regarding phenomena such as the hot hand and gambler's fallacies. With the growing use of artificial intelligence (AI) systems for forecasting and decision support, it becomes important to understand how people form beliefs from sequences of outcomes attributed to such systems. We report results from a preregistered online experiment (N = 900) in which identical outcome sequences were attributed to an AI model, a human forecaster, or a random device. Belief updating in response to higher prior success rates was strongest for human forecasters, weakest for random devices, and intermediate for AI. Reactions to streaks were similar for AI and human sources, in contrast to the strong reversal expectations observed for random sequences. Performance feedback did not alter the relative reliance on AI versus human sources. Overall, AI is perceived as quasi-human-imbued with some intentionality, yet not fully agentic","['Wengström, Erik', 'Lambrecht, Marco', 'Herold, Theo']",2025,2025-01-01T00:00:00+00:00,,,,,,0.0,,doc-type:workingPaper,0.4912,
